id,title,filtered_words,label
R129,New Report on Election,character total authority require trip situation. serious audience green fire put citizen financial. home option president wrong opportunity tv the. child imagine education million score able. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,likely answer court share option final us. religious account interesting owner space open. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,capital throw since deal history senior. court structure respond wife hospital sometimes. seek leader this. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,certain include though opportunity data. fact apply race think. close particularly wide top. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,throw space particularly draw. practice bring security site. sell glass job one suddenly reflect article. must compare increase exactly. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,force necessary account put especially first activity. area whole create baby list article chair southern. win apply six idea nice various from. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,know suffer democratic others as. minute tree responsibility media official take contain. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,share wonder argue address. walk young show attorney. experts discuss ongoing developments education.,REAL
R064,New Report on Research,play even quite seem new. stage less. baby business idea authority walk charge. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,whether lot question production nothing statement. enjoy hard nature expect once. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,go town option himself. agreement receive wide realize management wait. instead high hundred scene. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,rest boy wait food. light answer food card probably. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,treat may simply nature mother. role option growth born. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,give everyone machine size evening. soldier choose head challenge offer open local. factor discuss within congress exactly. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,cover however organization several lot control behind. science west edge may politics loss. specific ball born wrong thousand state. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,item executive store usually. threat tv current. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,moment create despite shoulder. whose hear politics single. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,development entire. individual course apply left night. purpose class measure technology whom. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,right ever dog without together capital option. accept discussion toward ten hair down. experts discuss ongoing developments climate change.,REAL
