id,filtered_words,features,label_index
R129,character total authority require trip situation. serious audience green fire put citizen financial. home option president wrong opportunity tv the. child imagine education million score able. experts discuss ongoing developments election.,"(10000,[8,477,551,1109,1117,1176,1306,1312,1927,2260,3365,3556,3614,4506,4547,4687,4867,5191,5301,5530,5782,6279,6512,6976,7244,8449,8651,8730,8871,9462,9613],[3.6516567436233283,4.830311739964974,3.914021008090819,5.117993812416755,4.270695952029551,3.6516567436233283,3.914021008090819,3.914021008090819,4.607168188650764,5.117993812416755,4.830311739964974,2.849310271098391,0.6753425559264385,0.691153161953081,4.019381523748645,0.691153161953081,4.019381523748645,4.270695952029551,4.019381523748645,4.42484663185681,4.607168188650764,3.914021008090819,4.42484663185681,3.914021008090819,3.6516567436233283,4.019381523748645,3.7316994512968646,5.117993812416755,4.270695952029551,0.691153161953081,4.019381523748645])",1.0
R227,likely answer court share option final us. religious account interesting owner space open. experts discuss ongoing developments climate change.,"(10000,[309,821,1653,2059,3614,3619,3634,3947,4293,4506,4568,4687,6053,7381,9187,9188,9462,9613,9679],[5.523458920524919,2.849310271098391,4.607168188650764,2.6330871626287546,0.6753425559264385,4.137164559405029,4.607168188650764,3.8187108282864943,4.270695952029551,0.691153161953081,3.577548771469606,0.691153161953081,4.019381523748645,5.117993812416755,3.8187108282864943,4.270695952029551,0.691153161953081,4.019381523748645,5.117993812416755])",1.0
F231,capital throw since deal history senior. court structure respond wife hospital sometimes. seek leader this. — shocking claims aliens surface internet.,"(10000,[171,503,650,1144,1433,1526,2500,2996,3021,4568,4930,4963,5850,6287,6541,6543,7281,7936,8325,8338,8438],[3.914021008090819,0.691153161953081,2.958509563063383,5.523458920524919,3.383392757028649,3.914021008090819,4.019381523748645,4.137164559405029,4.137164559405029,3.577548771469606,3.6516567436233283,5.117993812416755,0.691153161953081,4.607168188650764,4.42484663185681,4.270695952029551,0.667530016189645,0.691153161953081,3.914021008090819,0.691153161953081,5.117993812416755])",0.0
R066,certain include though opportunity data. fact apply race think. close particularly wide top. experts discuss ongoing developments policy.,"(10000,[454,1948,2836,2953,3385,3497,3614,4506,4687,6083,6443,6873,6944,6976,7215,7312,9288,9462],[3.2208738275308737,3.8187108282864943,3.7316994512968646,4.137164559405029,4.42484663185681,4.42484663185681,0.6753425559264385,0.691153161953081,0.691153161953081,5.117993812416755,3.577548771469606,5.523458920524919,2.8154087194227095,3.914021008090819,4.137164559405029,3.7316994512968646,4.42484663185681,0.691153161953081])",1.0
F095,throw space particularly draw. practice bring security site. sell glass job one suddenly reflect article. must compare increase exactly. — shocking claims mind control surface internet.,"(10000,[160,503,557,815,1023,1208,2634,3057,3184,3759,4280,4485,4648,5321,5850,6340,6443,6932,7281,7936,7963,8325,8338,8581,9188,9246],[4.42484663185681,0.691153161953081,3.6516567436233283,4.019381523748645,3.914021008090819,2.60568818844064,4.607168188650764,4.270695952029551,2.7826188965997183,5.523458920524919,4.137164559405029,4.270695952029551,4.137164559405029,4.019381523748645,0.691153161953081,5.523458920524919,3.577548771469606,3.8187108282864943,0.667530016189645,0.691153161953081,4.270695952029551,3.914021008090819,0.691153161953081,4.019381523748645,4.270695952029551,4.42484663185681])",0.0
R174,force necessary account put especially first activity. area whole create baby list article chair southern. win apply six idea nice various from. experts discuss ongoing developments policy.,"(10000,[391,627,681,1348,1404,1417,1702,2398,3370,3495,3614,4506,4687,5401,5649,5958,6403,6647,6944,7312,7417,7979,8173,8728,8871,9187,9462],[3.914021008090819,4.42484663185681,4.019381523748645,3.7316994512968646,4.137164559405029,4.607168188650764,4.607168188650764,4.607168188650764,3.914021008090819,4.830311739964974,0.6753425559264385,0.691153161953081,0.691153161953081,3.8187108282864943,4.830311739964974,3.914021008090819,4.42484663185681,3.8187108282864943,2.8154087194227095,3.7316994512968646,5.117993812416755,4.270695952029551,3.8187108282864943,3.5085558999826545,4.270695952029551,3.8187108282864943,0.691153161953081])",1.0
R201,know suffer democratic others as. minute tree responsibility media official take contain. experts discuss ongoing developments public health.,"(10000,[855,1209,1770,3292,3357,3502,3614,4506,4687,5606,5871,6035,6135,6219,6940,7779,8485,9462],[3.8187108282864943,4.019381523748645,2.997730276216664,5.523458920524919,4.019381523748645,4.830311739964974,0.6753425559264385,0.691153161953081,0.691153161953081,3.6516567436233283,3.8187108282864943,3.8187108282864943,4.137164559405029,3.172083663361442,3.5085558999826545,3.4440173788450834,4.137164559405029,0.691153161953081])",1.0
R072,share wonder argue address. walk young show attorney. experts discuss ongoing developments education.,"(10000,[1259,3614,3730,3947,4019,4102,4506,4687,4723,5047,6142,7809,9462],[4.270695952029551,0.6753425559264385,4.270695952029551,3.8187108282864943,4.137164559405029,5.523458920524919,0.691153161953081,0.691153161953081,4.019381523748645,2.6902455764687034,4.019381523748645,4.137164559405029,0.691153161953081])",1.0
R064,play even quite seem new. stage less. baby business idea authority walk charge. experts discuss ongoing developments research.,"(10000,[30,359,1176,1348,2173,2588,3614,4506,4687,4722,5374,5958,6056,6142,6280,6406,7066,9462],[3.5085558999826545,5.117993812416755,3.6516567436233283,3.7316994512968646,4.137164559405029,3.7316994512968646,0.6753425559264385,0.691153161953081,0.691153161953081,4.607168188650764,3.914021008090819,3.914021008090819,4.137164559405029,4.019381523748645,5.117993812416755,4.830311739964974,2.8844015909096608,0.691153161953081])",1.0
F037,whether lot question production nothing statement. enjoy hard nature expect once. — shocking claims miracle drug surface internet.,"(10000,[503,1256,1805,2947,3406,3548,3611,3691,4292,4943,5125,5850,7281,7860,7936,8338,8353,8692],[0.691153161953081,3.125563647726549,3.7316994512968646,4.42484663185681,4.137164559405029,4.830311739964974,4.137164559405029,4.830311739964974,3.914021008090819,4.019381523748645,3.8187108282864943,0.691153161953081,0.667530016189645,2.958509563063383,0.691153161953081,0.691153161953081,4.270695952029551,5.523458920524919])",0.0
